155,175,326,187
155,174,327,183
159,176,325,184
160,179,329,183
155,174,326,182
156,166,324,180
156,164,325,180
159,161,324,187
161,159,321,188
161,157,322,194
158,152,326,201
161,150,322,202
152,164,329,200
155,163,329,200
158,165,328,202
158,165,326,200
156,162,323,202
162,154,323,199
156,149,330,208
159,155,316,212
155,155,320,209
157,163,320,208
156,164,321,207
153,166,327,206
158,154,325,204
158,152,326,207
158,147,321,208
168,146,319,212
161,142,321,214
161,145,319,215
166,152,322,215
162,160,322,212
161,165,321,213
157,161,325,207
158,151,326,207
163,147,321,209
161,149,321,212
160,148,319,211
163,146,316,214
164,148,317,213
161,145,322,210
161,145,322,210
163,142,319,214
161,142,321,213
161,143,318,210
161,142,314,215
164,140,317,216
158,141,324,218
159,145,323,216
157,147,323,216
163,138,322,218
161,145,318,212
163,140,316,214
161,144,322,212
158,148,322,209
165,147,315,204
165,149,319,203
159,147,319,206
164,148,318,209
164,148,311,207
168,138,315,216
166,146,315,210
168,145,314,212
159,143,316,213
159,145,317,214
159,141,323,219
159,143,319,217
158,141,323,220
160,146,323,216
157,140,323,221
156,141,323,221
161,141,318,219
157,139,320,222
155,138,327,220
156,142,323,220
158,135,321,224
157,139,320,221
150,136,319,224
149,131,333,227
164,137,319,225
160,138,318,225
159,138,321,226
154,134,325,221
158,129,326,217
158,128,324,221
163,131,323,217
155,122,326,224
172,127,312,219
177,126,314,220
172,129,319,228
172,129,310,222
173,130,307,225
168,129,309,228
168,131,311,227
168,129,312,231
179,124,306,235
181,117,303,240
186,121,303,238
188,112,296,232
188,106,294,234
198,117,302,243
188,122,305,241
181,123,300,241
189,118,294,245
196,113,289,244
204,110,288,250
207,104,283,252
200,99,279,253
204,106,288,257
200,111,281,255
195,112,280,249
193,110,288,253
194,111,285,253
201,108,283,253
201,109,287,254
200,105,284,255
204,106,282,255
210,107,283,256
208,104,277,260
203,103,276,258
197,101,282,260
203,104,279,258
200,104,280,255
200,102,278,257
200,103,280,258
204,103,281,256
202,102,280,259
207,100,277,261
207,100,273,258
209,102,277,259
214,100,280,258
224,101,283,261
225,102,277,259
223,98,276,252
228,100,279,261
223,99,279,261
218,101,273,257
210,103,275,257
207,102,271,255
