193,222,315,141
180,219,318,137
179,220,314,141
177,221,311,141
176,220,309,143
176,222,308,143
173,222,309,143
184,223,307,135
178,225,311,130
179,228,305,136
183,228,304,130
183,227,307,129
185,233,305,130
180,234,307,125
183,233,304,126
187,237,304,123
184,239,307,123
180,236,307,122
184,235,308,124
187,235,307,122
184,234,306,122
181,234,305,122
186,231,306,127
175,232,306,126
183,232,306,127
182,229,306,129
178,229,309,129
179,226,305,133
185,229,306,133
185,232,302,126
183,227,306,129
187,230,301,131
197,234,303,129
199,234,299,122
200,243,292,130
211,243,305,122
208,238,305,122
210,251,300,123
205,251,300,123
201,256,289,128
207,254,293,120
204,257,294,120
203,266,286,125
215,250,292,108
217,251,288,112
212,261,274,122
213,257,274,122
207,262,290,122
212,259,290,124
201,265,286,129
211,247,287,129
211,244,294,126
201,254,284,132
199,252,291,127
208,244,307,116
203,248,299,123
204,235,285,119
202,240,292,119
196,244,295,115
193,247,292,112
194,244,288,112
199,249,292,108
198,245,293,113
207,252,285,113
201,247,290,116
203,250,290,115
204,244,289,113
211,253,289,113
207,249,280,108
223,251,286,109
225,254,285,108
218,251,281,105
224,258,283,105
222,254,283,105
229,258,281,101
224,255,280,102
234,251,273,105
235,260,271,101
234,259,271,98
225,264,267,101
232,262,267,101
233,262,267,102
230,267,267,102
232,263,267,101
230,264,270,98
229,247,267,101
231,247,273,101
225,253,283,107
221,254,283,109
216,250,287,109
215,255,286,109
212,252,287,115
214,246,287,115
217,248,287,115
222,249,286,112
230,246,286,115
229,249,281,112
231,243,282,110
236,249,282,109
234,252,281,108
235,250,281,108
231,252,282,109
233,253,281,108
236,255,283,109
236,254,283,109
248,259,274,105
246,257,274,105
248,258,270,105
251,252,271,101
253,256,267,101
255,254,271,101
248,256,267,101
248,256,267,101
248,255,267,102
254,256,271,105
245,249,271,108
223,247,286,113
202,244,293,116
192,233,295,117
193,236,296,116
191,244,301,116
191,241,296,118
190,241,300,114
188,231,300,108
186,223,304,102
188,233,304,106
186,234,300,106
184,225,304,102
188,221,305,99
186,222,305,99
186,220,300,100
185,217,301,102
186,216,304,102
186,205,305,98
181,203,303,95
185,202,304,98
185,202,299,94
184,203,294,98
182,205,296,101
183,208,288,109
170,205,288,109
174,208,293,119
168,209,281,125
169,210,285,122
176,198,296,118
167,210,281,127
174,211,278,132
168,205,278,128
171,205,281,120
171,204,281,116
182,210,293,109
179,208,285,108
181,201,298,109
183,209,285,108
184,212,298,109
186,213,288,105
190,212,288,105
174,217,288,105
174,214,288,105
172,215,285,108
172,216,285,109
170,219,288,105
171,221,288,105
173,216,288,105
175,214,288,105
168,229,281,118
164,223,281,118
164,222,281,118
165,223,281,118
175,226,288,112
168,225,288,113
161,227,281,124
168,225,288,111
176,225,292,118
177,225,288,120
173,229,288,120
169,231,288,123
166,226,288,123
171,226,288,123
177,225,292,122
180,212,307,113
179,213,306,114
179,213,306,112
179,213,306,112
178,214,308,110
178,214,308,110
179,219,302,114
164,230,288,126
168,231,288,120
167,227,281,129
167,226,281,128
172,224,285,117
168,227,285,117
182,208,288,109
197,212,288,109
200,212,288,105
188,209,288,105
183,211,285,108
182,209,285,108
182,210,285,108
190,214,285,108
190,214,285,108
198,216,287,105
193,225,292,108
197,230,292,115
192,234,296,116
191,235,294,124
186,237,297,119
188,244,289,117
185,247,289,117
184,247,293,117
189,247,289,117
186,245,293,117
185,249,293,114
185,249,293,114
186,239,298,130
191,236,288,135
190,237,299,131
191,235,293,126
191,230,292,126
194,227,295,126
192,240,296,132
201,240,293,125
199,242,293,124
200,241,289,119
213,243,290,120
216,242,287,116
221,245,291,118
221,244,290,118
222,244,290,118
226,242,287,118
231,245,279,112
232,247,288,118
232,250,287,115
233,247,283,112
232,249,283,111
232,249,283,109
233,250,282,108
238,249,283,111
235,243,283,106
237,254,283,106
239,250,277,101
242,255,267,105
244,252,275,110
240,259,264,110
243,246,267,105
239,249,277,113
232,250,279,110
235,253,280,111
233,250,281,112
231,251,282,112
225,249,276,112
224,248,280,117
216,247,278,112
214,248,279,121
215,242,288,118
211,245,282,121
209,248,283,121
206,243,293,121
205,247,288,117
195,244,294,124
197,243,290,123
190,248,288,114
190,245,293,112
189,246,294,112
188,245,295,112
193,244,295,114
207,239,294,113
201,243,291,115
191,208,296,105
186,210,288,105
182,206,288,105
183,206,285,108
179,208,285,112
179,206,281,123
164,227,274,130
163,226,274,126
159,227,271,127
187,197,299,100
165,219,267,137
186,198,299,100
163,220,267,131
174,220,267,132
169,217,274,119
186,218,302,122
182,221,302,126
181,214,302,126
185,211,299,123
197,229,299,126
194,221,298,129
195,230,298,129
193,211,299,115
190,220,295,119
189,201,306,114
184,198,306,104
169,184,313,165
167,198,308,170
163,201,321,157
162,201,320,169
164,188,318,183
168,161,314,169
168,165,316,151
169,188,324,166
169,190,317,167
172,186,316,168
167,179,316,191
164,167,313,196
163,179,321,194
159,179,327,183
163,179,325,180
161,168,322,185
161,162,318,195
160,161,325,195
168,161,320,198
164,172,328,198
155,161,327,202
155,159,327,203
154,159,323,198
154,162,326,200
157,167,324,198
159,177,319,195
159,194,323,195
168,200,321,189
169,209,314,183
159,206,325,184
158,206,318,181
164,196,321,184
178,165,322,189
152,161,330,198
162,161,321,193
161,160,319,182
162,159,323,177
181,156,315,197
173,152,311,204
200,148,293,204
204,129,305,213
201,126,297,209
199,119,297,203
196,108,291,197
217,136,318,224
208,129,306,228
208,130,298,231
211,122,293,237
222,115,289,240
225,114,289,248
228,112,273,248
213,107,264,253
214,109,265,260
209,110,262,256
199,104,262,256
197,106,264,255
204,98,259,257
230,116,269,249
238,109,271,246
237,101,269,252
220,108,277,259
225,100,277,262
229,98,277,266
247,103,273,249
251,103,268,256
257,108,261,250
262,107,261,257
266,108,250,255
265,102,248,258
244,98,239,260
244,102,234,258
236,103,233,258
252,99,225,260
263,109,221,254
260,99,221,262
261,111,238,248
253,109,243,255
241,104,231,259
231,108,240,256
236,99,243,262
255,101,245,264
263,109,225,243
265,109,223,252
267,98,222,254
262,113,237,249
246,101,232,258
246,98,238,260
239,109,229,255
256,98,220,263
264,91,217,262
262,101,217,262
252,105,220,258
257,104,221,262
