225,216,257,168,315,141,
180,219,255,166,
231,212,256,165,
237,205,265,156,
236,206,263,160,
233,208,266,156,
238,205,265,158,
198,206,242,193,284,140,
178,225,245,190,271,144,
196,208,243,193,269,149,
190,205,238,189,268,143,
194,202,241,188,272,140,
191,209,247,186,276,141,
187,209,240,184,271,140,
200,199,249,179,276,137,
203,198,257,178,281,136,
212,197,264,176,307,123,
215,193,267,172,290,132,
223,191,276,170,
226,192,280,171,
211,226,232,191,286,168,
213,223,236,186,289,165,
215,223,244,182,296,162,
217,219,243,181,296,160,
217,220,243,183,293,164,
218,214,243,177,295,156,
224,208,247,173,299,153,
223,205,244,170,305,134,
223,202,247,165,293,148,
222,195,251,153,
229,186,256,147,
193,207,225,186,253,145,
197,201,232,179,257,142,
199,199,235,176,260,139,
202,196,237,173,260,140,
210,193,243,170,266,140,
210,191,245,168,268,137,
211,193,245,168,293,126,
210,193,249,164,264,141,
201,203,239,171,286,129,
218,229,221,186,261,157,
218,230,221,187,265,154,
218,190,255,162,
227,229,235,176,274,147,
228,229,236,175,286,130,
220,192,275,126,
222,188,276,130,
218,192,258,160,
219,188,251,167,
212,192,248,167,
212,191,248,166,
212,194,247,167,269,134,
204,201,238,172,284,132,
204,198,233,176,256,144,
217,194,255,155,274,130,
203,248,217,189,245,166,266,137,
225,230,237,173,269,153,
202,240,241,178,274,156,
235,233,246,173,291,131,
235,224,249,166,281,142,
231,219,249,162,289,118,
238,209,255,150,282,130,
215,217,241,203,255,150,
210,219,238,204,259,142,
209,215,241,197,258,140,
207,217,241,197,255,144,
214,211,245,194,261,137,
208,218,242,195,260,139,
209,213,245,188,260,135,
207,220,245,188,263,132,
214,214,251,186,267,132,
210,213,247,182,264,128,
210,211,249,177,278,109,
210,211,251,174,276,109,
213,205,252,174,264,134,
214,201,254,168,265,125,
218,202,256,170,267,132,
223,193,261,161,
225,184,259,161,
231,234,224,186,259,158,
224,186,259,161,
225,217,223,187,260,158,
230,234,223,187,261,157,
224,186,260,158,
230,239,221,190,258,159,
221,194,260,162,
222,197,259,165,
214,205,250,176,280,108,
215,203,249,177,277,111,
216,206,249,179,263,127,
211,207,246,177,260,127,
208,213,244,185,261,128,
208,213,242,187,262,126,
207,216,242,188,261,127,
206,219,245,185,262,127,
212,217,247,187,278,116,
229,249,246,187,264,128,
212,230,248,180,263,126,
210,216,247,181,263,126,
210,215,249,179,263,127,
210,215,247,181,263,126,
210,216,248,179,262,128,
212,217,246,182,263,126,
212,213,252,177,274,113,
212,212,252,176,275,114,
218,210,258,169,
218,207,256,173,
218,204,259,166,
222,196,263,157,
220,197,259,159,
222,194,262,158,
220,197,259,159,
220,197,258,159,
220,198,260,159,
222,199,264,161,
220,208,258,176,
210,220,245,189,263,130,
207,214,237,194,260,129,
232,192,253,128,
233,191,280,121,
191,244,240,191,275,122,
216,212,245,192,266,131,
220,209,251,185,270,127,
255,181,275,124,
232,198,263,172,280,117,
230,203,260,179,280,120,
213,229,231,203,263,172,278,123,
218,223,269,165,284,115,
221,221,240,194,270,167,296,104,
222,221,272,164,297,104,
216,224,239,196,271,163,285,114,
218,225,238,198,270,167,
222,221,242,194,274,166,298,105,
225,216,251,185,280,159,
224,217,252,184,281,157,
224,217,252,184,279,159,
226,216,252,184,279,159,
226,216,252,184,283,155,
225,216,251,185,280,159,
223,217,250,187,278,162,
225,217,250,187,279,159,
221,220,248,189,276,164,
221,219,247,191,284,141,
219,220,248,189,276,164,
229,209,254,181,282,155,
223,219,245,191,275,163,
221,218,246,191,281,145,
223,218,248,189,281,141,
221,218,247,190,271,171,
222,219,247,190,273,168,
225,218,246,191,274,166,
222,219,245,192,273,167,
222,219,248,189,274,165,
203,224,244,193,273,166,
225,218,246,191,276,163,
222,219,247,190,276,163,
190,212,248,190,275,162,
229,214,273,165,
229,213,273,165,
229,213,246,191,275,164,
229,213,246,191,274,165,
232,211,277,162,
233,210,279,157,
231,211,278,160,
231,210,277,162,
231,212,247,190,283,139,
228,214,283,130,
227,214,283,130,
226,215,246,191,274,165,
229,213,288,129,
187,210,237,202,288,130,
188,219,231,212,277,161,
189,209,234,205,282,153,
178,223,234,205,254,181,283,152,
177,225,236,202,256,177,289,134,
187,210,235,204,287,137,
182,212,234,205,287,138,
190,210,236,204,286,139,
172,223,233,205,287,134,
188,205,235,202,284,151,
202,190,251,184,269,162,
207,188,251,186,273,162,304,129,
205,188,252,186,
205,188,253,184,273,161,303,129,
201,192,250,186,273,161,301,133,
202,192,254,185,301,133,
198,192,250,187,303,120,
186,213,231,209,287,141,
183,214,233,209,280,158,
233,211,280,159,
229,213,249,188,280,159,
234,210,249,187,285,138,
232,211,285,117,
234,207,284,156,
233,208,254,181,281,161,
239,204,255,180,282,160,
231,209,253,182,281,161,
229,213,250,186,279,163,
228,213,252,184,278,164,
229,213,252,183,278,164,
232,212,249,188,277,165,
231,211,249,186,278,165,
233,211,251,184,279,165,
219,223,244,191,274,168,
235,196,269,169,275,131,
226,202,256,178,270,132,
223,204,251,183,268,132,
214,207,244,184,261,133,
217,205,245,182,259,137,
216,205,245,182,260,134,
218,206,247,185,264,135,
216,206,246,181,261,133,
219,206,248,184,263,137,
221,201,250,178,263,133,
206,223,219,203,247,181,264,130,
207,210,236,190,259,133,
206,212,232,195,252,138,
191,234,232,195,244,145,
228,191,244,138,
226,194,242,143,
226,194,243,139,
204,210,228,195,248,138,
198,211,229,190,250,135,
200,209,230,188,247,139,
200,217,233,188,253,135,
200,215,231,190,256,133,
204,210,235,185,257,133,
203,209,234,184,258,128,
204,208,237,180,255,132,
203,213,236,181,255,133,
203,211,237,180,258,128,
206,212,241,177,258,134,
206,214,238,181,263,127,
