326,203,156,208
324,202,157,209
342,188,171,190
318,200,155,202
319,184,163,188
320,184,165,187
324,181,158,186
322,180,159,200
322,172,161,200
321,169,162,203
321,165,160,210
319,157,168,209
318,153,165,210
317,150,165,217
315,143,170,221
314,142,175,219
311,137,175,224
311,136,173,227
311,140,172,235
316,149,170,239
308,147,166,243
313,154,171,245
316,157,172,255
316,158,172,255
312,147,168,253
310,149,174,257
314,147,170,256
316,151,170,253
316,151,170,261
316,154,176,264
314,153,175,265
343,131,223,231
342,133,227,232
340,132,237,235
334,138,240,238
333,137,246,236
332,135,245,240
331,134,249,239
326,130,252,238
328,129,250,244
326,131,253,243
324,130,256,242
321,119,256,244
320,117,255,241
307,118,252,240
304,111,250,252
304,109,249,255
294,110,242,254
286,111,242,253
279,109,233,255
264,103,224,257
270,105,226,258
266,104,230,263
266,103,232,263
263,99,235,264
256,97,236,266
253,94,238,265
239,99,240,268
242,101,244,268
232,98,250,265
221,97,255,263
214,99,256,261
214,97,266,257
214,102,273,257
210,98,268,263
214,94,264,265
214,92,266,268
218,94,261,268
221,93,264,270
223,92,264,269
223,93,265,267
225,92,266,271
223,93,261,270
226,90,273,269
230,92,275,270
227,92,280,268
226,94,281,264
225,93,283,267
227,94,285,266
227,99,279,259
225,99,288,256
223,104,290,253
221,106,291,251
221,106,300,250
218,106,299,252
211,106,302,252
216,107,301,254
207,104,305,256
208,106,299,251
205,106,303,254
203,107,296,252
203,105,299,257
212,108,302,256
196,98,286,238
198,102,282,249
200,103,281,255
200,107,287,258
204,110,289,255
200,111,291,253
195,111,294,250
195,116,295,250
191,117,300,249
186,120,305,248
177,118,306,235
178,121,306,231
177,118,309,230
170,120,312,226
177,132,313,218
184,131,320,226
188,134,324,230
